name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
features.denseblock2.denselayer2.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=32","[1, 160, 28, 28]","[1, 32, 28, 28]",4014080,4014080,0,8028160,5120,25088
features.denseblock2.denselayer2.branch1a.norm,None,"[1, 32, 28, 28]","[1, 32, 28, 28]",25088,25088,0,50176,0,25088
features.denseblock2.denselayer2.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 32, 28, 28]","[1, 16, 28, 28]",3612672,3612672,0,7225344,4608,12544
features.denseblock2.denselayer2.branch1b.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
features.denseblock2.denselayer2.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=32","[1, 160, 28, 28]","[1, 32, 28, 28]",4014080,4014080,0,8028160,5120,25088
features.denseblock2.denselayer2.branch2a.norm,None,"[1, 32, 28, 28]","[1, 32, 28, 28]",25088,25088,0,50176,0,25088
features.denseblock2.denselayer2.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 32, 28, 28]","[1, 16, 28, 28]",3612672,3612672,0,7225344,4608,12544
features.denseblock2.denselayer2.branch2b.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
features.denseblock2.denselayer2.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 28, 28]","[1, 16, 28, 28]",1806336,1806336,0,3612672,2304,12544
features.denseblock2.denselayer2.branch2c.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
features.denseblock2.denselayer3.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=32","[1, 192, 28, 28]","[1, 32, 28, 28]",4816896,4816896,0,9633792,6144,25088
features.denseblock2.denselayer3.branch1a.norm,None,"[1, 32, 28, 28]","[1, 32, 28, 28]",25088,25088,0,50176,0,25088
